keyword,created_at,text,username,hashtag,hashtag_occurence
Doctor,2021-07-23 13:05:59,"If you're going to autocall people to set up doctor's appts, you should make sure the person doing the scheduling a… https://t.co/QP3dN9ITPS",kleine_snowdrop,,246
Doctor,2021-07-23 13:05:58,@GardenerAlex20 @TYRANT_RISES He needs a doctor as his front door step as soon as possible,svmniac,,246
Doctor,2021-07-23 13:05:58,"RT @AccessLizzie: RUMOR: Sparky will be the main villain in ""Doctor Strange in the Multiverse of Madness."" https://t.co/b5NMCDCzfb",dawnsnidget,,246
Doctor,2021-07-23 13:05:56,내가 네 고통을 덜어주지.,Who_Need_Doctor,,246
Doctor,2021-07-23 13:05:56,"@Ruby00538018 @MrJasonDay ""Muchachito tonto"" fue un eufemismo utilizado por el doctor Aníbal Torres para decirle ""i… https://t.co/np4b5mdDgV",wattecastillo16,,246
Doctor,2021-07-23 13:05:54,"RT @HyunHoon7: Semalam aku pergi vaksin kat stadium bukit jalil and you know what? Doctor yang cucuk aku tu, muka dia 7/10 muka dia macam L…",yejiapsabtob__,,246
Doctor,2021-07-23 13:05:54,@jngwnlv Good doctor pi,cheeeeeeeckoooo,,246
Doctor,2021-07-23 13:05:53,"RT @MissBJArmstrong: Unfassbar, wie viele Leute sich innerhalb der letzten 17 Monate derart vom Fernseher haben verändern lassen, dass jetz…",Doctor_42,,246
Doctor,2021-07-23 13:05:52,@Man_shergill @advGaganSidhu ना ना ना doctor.... ਹੁਣ ਸਾਡੀ ਟੀਮ wich ਨਹੀਂ ਤੁਸੀਂ.... Chlo family family khedo hahahaha… https://t.co/1jqtRNG5Vv,sandhu94717,,246
Doctor,2021-07-23 13:05:52,"RT @jtorresromero: Abg. Eduardo González, apoderado ANR: ""Ayer le vi a @guillesequera aplaudiendo a una chica que se vacunaba con la remera…",adiazarce,,246
Doctor,2021-07-23 13:05:51,https://t.co/n5uxVinGBF,apnamau,,246
Doctor,2021-07-23 13:05:51,"RT @AccessLizzie: RUMOR: Sparky will be the main villain in ""Doctor Strange in the Multiverse of Madness."" https://t.co/b5NMCDCzfb",nashhhwaa,,246
Doctor,2021-07-23 13:05:51,RT @JackPosobiec: EXCLUSIVE: FBI chief who ignored abuse claims against Larry Nassar for over a YEAR is seen enjoying retirement after scat…,dark_swan,,246
Doctor,2021-07-23 13:05:49,RT @ACTforAmerica: Anthony Fauci is an evil doctor.,jobie_myers,,246
Doctor,2021-07-23 13:05:49,RT @archiveofhoon: doctor hoon ♡ https://t.co/rmbCAcV9IF,hoonieismine,,246
Doctor,2021-07-23 13:05:49,@aproko_doctor I've NEVER!,GadoJnr1,,246
